"gene_id","biotype","source"
"ATlnc_1006","lnc_exonic_antisense","DevSeq"
"ATlnc_1009","lnc_exonic_antisense","DevSeq"
"ATlnc_1011","lnc_exonic_antisense","DevSeq"
"ATlnc_1014","lnc_exonic_antisense","DevSeq"
"ATlnc_1018","lnc_exonic_antisense","DevSeq"
"ATlnc_1019","lnc_exonic_antisense","DevSeq"
"ATlnc_1020","lnc_exonic_antisense","DevSeq"
"ATlnc_1021","lnc_exonic_antisense","DevSeq"
"ATlnc_1022","lnc_exonic_antisense","DevSeq"
"ATlnc_1023","lnc_exonic_antisense","DevSeq"
"ATlnc_1025","lnc_exonic_antisense","DevSeq"
"ATlnc_1029","lnc_exonic_antisense","DevSeq"
"ATlnc_103","lnc_exonic_antisense","DevSeq"
"ATlnc_1032","lnc_exonic_antisense","DevSeq"
"ATlnc_1033","lnc_exonic_antisense","DevSeq"
"ATlnc_1035","lnc_exonic_antisense","DevSeq"
"ATlnc_1038","lnc_exonic_antisense","DevSeq"
"ATlnc_1039","lnc_exonic_antisense","DevSeq"
"ATlnc_104","lnc_exonic_antisense","DevSeq"
"ATlnc_1040","lnc_exonic_antisense","DevSeq"
"ATlnc_1043","lnc_exonic_antisense","DevSeq"
"ATlnc_1049","lnc_exonic_antisense","DevSeq"
"ATlnc_1050","lnc_exonic_antisense","DevSeq"
"ATlnc_1051","lnc_exonic_antisense","DevSeq"
"ATlnc_1052","lnc_exonic_antisense","DevSeq"
"ATlnc_1053","lnc_exonic_antisense","DevSeq"
"ATlnc_1059","lnc_exonic_antisense","DevSeq"
"ATlnc_1061","lnc_exonic_antisense","DevSeq"
"ATlnc_1062","lnc_exonic_antisense","DevSeq"
"ATlnc_1063","lnc_exonic_antisense","DevSeq"
"ATlnc_1066","lnc_exonic_antisense","DevSeq"
"ATlnc_1069","lnc_exonic_antisense","DevSeq"
"ATlnc_107","lnc_exonic_antisense","DevSeq"
"ATlnc_1070","lnc_exonic_antisense","DevSeq"
"ATlnc_1071","lnc_exonic_antisense","DevSeq"
"ATlnc_1078","lnc_exonic_antisense","DevSeq"
"ATlnc_1079","lnc_exonic_antisense","DevSeq"
